obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659645088,2,33.17990112,3724598993,3724598993,3659645088,0,internal_timestamp,547.6799927,998461,1450656287,5.256199837,3.317990112,34.13431553,1029.492929,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('1',)",3659645099,2,33.18069839,3724598993,3724598993,3659645099,0,internal_timestamp,546.4000244,5587,1450656299,5.258200169,3.318069839,34.13383581,1029.486413,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('2',)",3659645110,2,33.18249893,3724598993,3724598993,3659645110,0,internal_timestamp,545.289978,999855,1450656309,5.260700226,3.318249893,34.13391065,1029.48105,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('3',)",3659645121,2,33.18640137,3724598993,3724598993,3659645121,0,internal_timestamp,544.2000122,5692,1450656321,5.266600132,3.318640137,34.13292717,1029.474502,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('4',)",3659645132,2,33.19110107,3724598993,3724598993,3659645132,0,internal_timestamp,543.039978,2917,1450656332,5.273799896,3.319110107,34.13157066,1029.467169,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('5',)",3659645143,2,33.19860077,3724598993,3724598993,3659645143,0,internal_timestamp,541.7999878,10370,1450656343,5.28399992,3.319860077,34.13040863,1029.459231,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('6',)",3659645154,2,33.20090103,3724598993,3724598993,3659645154,0,internal_timestamp,540.6500244,7318,1450656354,5.287799835,3.320090103,34.12975527,1029.452941,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('7',)",3659645165,2,33.20220184,3724598993,3724598993,3659645165,0,internal_timestamp,539.6799927,13464,1450656365,5.289800167,3.320220184,34.12969603,1029.44818,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3659645176,2,33.20389938,3724598993,3724598993,3659645176,0,internal_timestamp,538.7299805,8485,1450656376,5.291999817,3.320389938,34.12987765,1029.443674,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3659645187,2,33.20489883,3724598993,3724598993,3659645187,0,internal_timestamp,537.6500244,15063,1450656387,5.293900013,3.320489883,34.12963071,1029.438273,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('10',)",3659645198,2,33.20629883,3724598993,3724598993,3659645198,0,internal_timestamp,536.539978,11981,1450656398,5.29640007,3.320629883,34.12924778,1029.432548,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('11',)",3659645209,2,33.20849991,3724598993,3724598993,3659645209,0,internal_timestamp,535.5599976,9871,1450656409,5.299900055,3.320849991,34.12870048,1029.427161,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('12',)",3659645220,2,33.21020126,3724598993,3724598993,3659645220,0,internal_timestamp,534.539978,5417,1450656420,5.302400112,3.321020126,34.12861667,1029.422085,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('13',)",3659645231,2,33.2098999,3724598993,3724598993,3659645231,0,internal_timestamp,533.5,12212,1450656431,5.303100109,3.32098999,34.12808189,1029.416797,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('14',)",3659645242,2,33.21160126,3724598993,3724598993,3659645242,0,internal_timestamp,532.6500244,7369,1450656442,5.305399895,3.321160126,34.1281163,1029.412621,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
